SMILES,PEOE_VSA6,TPSA,NumHAcceptors,VSA_EState10,NumHDonors
N=C1CC[C@@H](C(=O)NNC(=O)[C@@H]2CCN(OS(=O)(=O)O)C2)N(C=O)C1,0.0,169.2,8,0.0,4
C[C@H](CS)C(=O)NCB(O)O,6.923737199690624,69.56,4,3.9136259133282945,4
C[C@H](CS)C(=O)N[C@@H](Cc1ccccc1)B(O)O,37.255572541998674,69.56,4,4.042432271823806,4
C[C@H](CS)C(=O)N[C@H](B(O)O)c1ccc(F)cc1,19.056471336613843,69.56,4,3.9944441344200845,4
C[C@H](CS)C(=O)N[C@@H](B(O)O)c1ccc(F)cc1,19.056471336613843,69.56,4,3.9944441344200845,4
O=C(O)c1c(F)ccc2c1OB(O)[C@@H]1C[C@H]21,6.06636706846161,66.76,3,0.0,2
CCCCC1=C(C(=O)O)N[C@@H]([C@H](C(=O)O)[C@@H](C)O)S1,13.344558822616634,106.86000000000001,5,1.1986574074074072,4
C=C(C(=O)O)[C@H]1OB(O)c2ccccc21,30.844403957444936,66.76,3,0.0,2
Nc1nnc(SCC(=O)N[C@@H](Cn2cc(C(=O)O)nn2)[B-](O)(O)O)s1,28.31205592298072,209.6,13,2.097245960276644,6
C=C1C(C(=O)O)=N[C@@H]([C@H](C=O)[C@@H](C)O)[C@H]1C,13.502672883289122,86.96,4,0.0,2
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@H](C(=O)N(C)C)C1,6.923737199690624,119.3,7,1.493162320483749,3
C[C@@H]1[C@H]([C@H](C=O)[C@@H](C)O)N=C(C(=O)O)[C@@H]1S[C@@H]1CN[C@@H](C(=O)Nc2ccc(C(=O)O)cc2)C1,6.923737199690624,165.39,8,1.4183832158769025,5
NCc1ccc(C(=O)N[C@H]2Cc3cccc(C(=O)O)c3O[B-]2(O)O)cc1,24.26546827384644,142.11,6,0.0,5
CC(C)(O)[C@@H](C(=O)O)[C@@H]1N[C@@H](C(=O)O)C(C)(C)S1,0.0,106.86,5,1.2347916666666665,4
O=C(NCP(=O)(O)O)OCc1ccccc1,30.33183534230805,95.86000000000001,3,0.0,3
CC1=C(C(=O)O)N[C@@H]([C@@H](C=O)NC(=O)Cc2cccs2)SC1,6.06636706846161,95.5,6,2.870369668477532,3
CC1(C)SC(C(=O)O)=CN[C@H]1C(=O)O,0.0,86.63000000000001,4,1.0514351851851849,3
CC(=O)N[C@@H](CO/N=C(\CCC(=O)O)C(=O)O)C(=O)O,5.15571272675054,162.59,6,0.0,4
C[C@@H](O)[C@@H](C=O)[C@@H]1NC(C(=O)O)=C(S[C@@H]2CN[C@H](C(=O)N(C)C)C2)[C@@H]1C,6.923737199690624,118.97000000000001,7,1.4410789871504153,4
O=CC1=CN=C(C(=O)O)CS[C@H]1c1cn2c(n1)COCC2,0.0,93.78,7,1.3418631897203324,1
O=C(O)C1=CN=C(C(=O)O)CS[C@H]1c1cn2c3c(sc2n1)CCC3,0.0,104.25999999999999,7,2.8744116381120346,2
C[C@](Cn1ccnn1)([C@@H](N/C=C/C=O)C(=O)O)[SH](=O)=O,5.213385095654868,131.25,8,0.0,3
